Date,Country 1,Country 2,Country 3,Country 4,Country 5,Country 6,Target country,Strikes in Iraq,Strikes in Syria,Location 1,Location 2,Aircraft type,Number of aircrafts,Ammunition,Target 1,No of target 1,Status of target 1,Target 2,No of target 2,Status of target 2,Target 3,No of target 3,Status of target 3,Target 4,No of target 4,Status of target 4,Target 5,No of target 5,Status of target 5,Target 6,No of target 6,Status of target 6,Target 7,No of target 7,Status of target 7,Target 8,No of target 8,Status of target 8,Target 9,No of target 9,Status of target 9,Target 10,No of target 10,Status of target 10,Casualties?,Casualties estimate
2014-08-08T00:00:00Z,USA,,,,,,Iraq,1,,Irbil,,Attack,2,500-pound laser-guided bombs,Mobile artillery piece,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-08T00:00:00Z,USA,,,,,,Iraq,1,,Irbil,,Remotely piloted aircraft,1,,Mortar position,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Unknown
2014-08-08T00:00:00Z,USA,,,,,,Iraq,1,,Irbil,,Attack,4,Laser guided bomb,Convoy,7,Destroyed,Mortar position,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-09T00:00:00Z,USA,,,,,,Iraq,4,,Sinjar,,Fighter and remotely piloted aircraft,,,APC,6,Destroyed,Armed truck,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-10T00:00:00Z,USA,,,,,,Iraq,6,,Irbil,,Fighter and remotely piloted aircraft,,,Armed truck,3,Destroyed,Mortar position,1,Destroyed,Armed vehicle,1,Damaged,Convoy,1,Destroyed,,,,,,,,,,,,,,,,,,,,
2014-08-11T00:00:00Z,USA,,,,,,Iraq,4,,Sinjar,,Fighter,1,,Checkpoint,3,Destroyed,Armed truck,1,Destroyed,High-Mobility Multipurpose Wheeled Vehicle,1,Destroyed,Checkpoint,1,Damaged,Truck,1,Destroyed,,,,,,,,,,,,,,,,,
2014-08-12T00:00:00Z,USA,,,,,,Iraq,1,,Sinjar,,Remotely piloted aircraft,1,,Mortar position,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-13T00:00:00Z,USA,,,,,,Iraq,1,,Sinjar,,Remotely piloted aircraft,1,,Armed vehicle,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-14T00:00:00Z,USA,,,,,,Iraq,4,,Irbil,,Fighter and remotely piloted aircraft,,,Armed vehicle,2,Destroyed,MRAP,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-15T00:00:00Z,USA,,,,,,Iraq,1,,Irbil,,Remotely piloted aircraft,1,,Armed vehicle,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-16T00:00:00Z,USA,,,,,,Iraq,9,,Irbil,Mosul,Fighter and remotely piloted aircraft,,,APC,4,Destroyed,Armed vehicle,7,Destroyed,Humvee,2,Destroyed,Armored vehicle,1,Destroyed,,,,,,,,,,,,,,,,,,,,
2014-08-17T00:00:00Z,USA,,,,,,Iraq,14,,Mosul Dam,,"Attack, bomber, fighter, and remotely piloted aircraft",,,Armed vehicle,10,Damaged or destroyed,Humvee,7,Damaged or destroyed,APC,2,Damaged or destroyed,Checkpoint,1,Damaged or destroyed,,,,,,,,,,,,,,,,,,,,
2014-08-18T00:00:00Z,USA,,,,,,Iraq,15,,Mosul Dam,,"Bomber, fighter, and remotely piloted aircraft",,,Fighting position,9,Damaged or destroyed,Checkpoint,1,Damaged or destroyed,Armed vehicle,6,Damaged or destroyed,Light armored vehicle,1,Damaged or destroyed,Vehicle-mounted anti-aircraft artillery gun,1,Damaged or destroyed,IED emplacement belt,1,Damaged or destroyed,,,,,,,,,,,,,,
2014-08-19T00:00:00Z,USA,,,,,,Iraq,2,,Mosul Dam,,Fighter,1,,Checkpoint,1,Destroyed,Unknown,Unknown,Unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-20T00:00:00Z,USA,,,,,,Iraq,14,,Mosul Dam,,"Fighter, remotely piloted and attack aircraft",,,Humvee,6,Damaged or destroyed,IED emplacement,3,Damaged or destroyed,Mortar tube,1,Damaged or destroyed,Armed trucks,2,Damaged or destroyed,,,,,,,,,,,,,,,,,,,,
2014-08-21T00:00:00Z,USA,,,,,,Iraq,6,,Mosul Dam,,Attack and fighter,,,Humvee,3,Destroyed,Vehicle,1,Destroyed,IED emplacement,Multiple,Destroyed,,,,,,,,,,,,,,,,,,,,,,,
